external_urls,followers,genres,id,name,popularity,uri
https://open.spotify.com/artist/35U9lQaRWSQISxQAB94Meo,1778315,"album rock, classic rock, folk rock, mellow gold, soft rock",35U9lQaRWSQISxQAB94Meo,America,69,spotify:artist:35U9lQaRWSQISxQAB94Meo
https://open.spotify.com/artist/5J7rXWjtn5HzUkJ4Jet8Fr,838430,"trap boricua, urbano latino",5J7rXWjtn5HzUkJ4Jet8Fr,Alvaro Diaz,76,spotify:artist:5J7rXWjtn5HzUkJ4Jet8Fr
https://open.spotify.com/artist/5RmQ8k4l3HZ8JoPb4mNsML,14802457,k-rap,5RmQ8k4l3HZ8JoPb4mNsML,Agust D,76,spotify:artist:5RmQ8k4l3HZ8JoPb4mNsML
https://open.spotify.com/artist/3vAaWhdBR38Q02ohXqaNHT,2665579,"alternative metal, modern rock, neo mellow, neon pop punk, pop punk, pop rock, post-grunge",3vAaWhdBR38Q02ohXqaNHT,The All-American Rejects,67,spotify:artist:3vAaWhdBR38Q02ohXqaNHT
https://open.spotify.com/artist/2oX42qP5ineK3hrhBECLmj,1231696,"neo mellow, post-teen pop, viral pop",2oX42qP5ineK3hrhBECLmj,Andy Grammer,69,spotify:artist:2oX42qP5ineK3hrhBECLmj
https://open.spotify.com/artist/0SfsnGyD8FpIN4U4WCkBZ5,4382038,"dutch house, dutch trance, edm, pop dance, progressive house, trance",0SfsnGyD8FpIN4U4WCkBZ5,Armin van Buuren,76,spotify:artist:0SfsnGyD8FpIN4U4WCkBZ5
https://open.spotify.com/artist/6mEQK9m2krja6X1cfsAjfl,4843300,japanese teen pop,6mEQK9m2krja6X1cfsAjfl,Ado,75,spotify:artist:6mEQK9m2krja6X1cfsAjfl
https://open.spotify.com/artist/0rZp7G3gIH6WkyeXbrZnGi,1177876,"ambient folk, indie folk",0rZp7G3gIH6WkyeXbrZnGi,Novo Amor,72,spotify:artist:0rZp7G3gIH6WkyeXbrZnGi
https://open.spotify.com/artist/4tuJ0bMpJh08umKkEXKUI5,2213215,alt z,4tuJ0bMpJh08umKkEXKUI5,Gracie Abrams,83,spotify:artist:4tuJ0bMpJh08umKkEXKUI5
https://open.spotify.com/artist/0urTpYCsixqZwgNTkPJOJ4,4421812,"contemporary r&b, dance pop, hip pop, r&b, urban contemporary",0urTpYCsixqZwgNTkPJOJ4,Aaliyah,67,spotify:artist:0urTpYCsixqZwgNTkPJOJ4
https://open.spotify.com/artist/21UPYSRWFKwtqvSAnFnSvS,421992,"afro r&b, afrobeats, alternative r&b, ghanaian alternative, ghanaian pop",21UPYSRWFKwtqvSAnFnSvS,Amaarae,69,spotify:artist:21UPYSRWFKwtqvSAnFnSvS
https://open.spotify.com/artist/2jzc5TC5TVFLXQlBNiIUzE,2347437,"new romantic, new wave, new wave pop, permanent wave, synthpop",2jzc5TC5TVFLXQlBNiIUzE,a-ha,74,spotify:artist:2jzc5TC5TVFLXQlBNiIUzE
https://open.spotify.com/artist/1mYsTxnqsietFxj1OgoGbG,50402150,filmi,1mYsTxnqsietFxj1OgoGbG,A.R. Rahman,80,spotify:artist:1mYsTxnqsietFxj1OgoGbG
https://open.spotify.com/artist/2loEsOijJ6XiGzWYFXMIRk,169624,melodic house,2loEsOijJ6XiGzWYFXMIRk,Adam Port,76,spotify:artist:2loEsOijJ6XiGzWYFXMIRk
https://open.spotify.com/artist/7nwUJBm0HE4ZxD3f5cy5ok,3415781,"classic soul, jazz blues, memphis soul, soul, southern soul, vocal jazz",7nwUJBm0HE4ZxD3f5cy5ok,Aretha Franklin,71,spotify:artist:7nwUJBm0HE4ZxD3f5cy5ok
https://open.spotify.com/artist/6sq1yF0OZEWA4xoXVKW1L9,7645505,"latin arena pop, latin pop, mariachi, mexican pop, musica mexicana, ranchera",6sq1yF0OZEWA4xoXVKW1L9,Alejandro Fernández,75,spotify:artist:6sq1yF0OZEWA4xoXVKW1L9
https://open.spotify.com/artist/6xfqnpe2HnLVUaYXs2F8YS,363776,"hollywood, movie tunes",6xfqnpe2HnLVUaYXs2F8YS,Anna Kendrick,67,spotify:artist:6xfqnpe2HnLVUaYXs2F8YS
https://open.spotify.com/artist/3PyJHH2wyfQK3WZrk9rpmP,2353927,"alt z, escape room",3PyJHH2wyfQK3WZrk9rpmP,Ashnikko,67,spotify:artist:3PyJHH2wyfQK3WZrk9rpmP
https://open.spotify.com/artist/0X2BH1fck6amBIoJhDVmmJ,12517542,"indietronica, metropopolis, pop, uk pop",0X2BH1fck6amBIoJhDVmmJ,Ellie Goulding,80,spotify:artist:0X2BH1fck6amBIoJhDVmmJ
https://open.spotify.com/artist/2auC28zjQyVTsiZKNgPRGs,17036982,k-rap,2auC28zjQyVTsiZKNgPRGs,RM,74,spotify:artist:2auC28zjQyVTsiZKNgPRGs
https://open.spotify.com/artist/4hFBhdNVZZuVk5FYThUwaN,159504,japanese vgm,4hFBhdNVZZuVk5FYThUwaN,アトラスサウンドチーム,68,spotify:artist:4hFBhdNVZZuVk5FYThUwaN
https://open.spotify.com/artist/5delTPpDAtBDsjk60f5xnt,550855,"emoplugg, glitchcore, plugg, pluggnb",5delTPpDAtBDsjk60f5xnt,Autumn!,64,spotify:artist:5delTPpDAtBDsjk60f5xnt
https://open.spotify.com/artist/3gBKY0y3dFFVRqicLnVZYz,15216158,"filmi, hare krishna, modern bollywood",3gBKY0y3dFFVRqicLnVZYz,Alka Yagnik,80,spotify:artist:3gBKY0y3dFFVRqicLnVZYz
https://open.spotify.com/artist/55Aa2cqylxrFIXC767Z865,15010190,"hip hop, new orleans rap, pop rap, rap, trap",55Aa2cqylxrFIXC767Z865,Lil Wayne,85,spotify:artist:55Aa2cqylxrFIXC767Z865
https://open.spotify.com/artist/4wQ3PyMz3WwJGI5uEqHUVR,1654022,"album rock, blues rock, classic rock, country rock, folk rock, hard rock, jam band, mellow gold, rock, singer-songwriter, soft rock, southern rock",4wQ3PyMz3WwJGI5uEqHUVR,Allman Brothers Band,63,spotify:artist:4wQ3PyMz3WwJGI5uEqHUVR
https://open.spotify.com/artist/4bYPcJP5jwMhSivRcqie2n,1011239,deep talent show,4bYPcJP5jwMhSivRcqie2n,Adam Levine,71,spotify:artist:4bYPcJP5jwMhSivRcqie2n
https://open.spotify.com/artist/2fMqTqiTxUDlmcOEPaQSsx,926188,modern bollywood,2fMqTqiTxUDlmcOEPaQSsx,Amitabh Bhattacharya,79,spotify:artist:2fMqTqiTxUDlmcOEPaQSsx
https://open.spotify.com/artist/0PN0fbe41KbuzlRYnoajNm,3314648,"mariachi, musica mexicana, norteno, ranchera",0PN0fbe41KbuzlRYnoajNm,Antonio Aguilar,70,spotify:artist:0PN0fbe41KbuzlRYnoajNm
https://open.spotify.com/artist/15UsOTVnJzReFVN1VCnxy4,46199723,"emo rap, miami hip hop, rap",15UsOTVnJzReFVN1VCnxy4,XXXTENTACION,87,spotify:artist:15UsOTVnJzReFVN1VCnxy4
https://open.spotify.com/artist/660YptcR0hNHJ8iEr1qcse,153318,show tunes,660YptcR0hNHJ8iEr1qcse,Anthony Ramos,66,spotify:artist:660YptcR0hNHJ8iEr1qcse
https://open.spotify.com/artist/2gBjLmx6zQnFGQJCAQpRgw,2957445,"dance pop, gangster rap, hip hop, pop rap, rap, st louis rap, urban contemporary",2gBjLmx6zQnFGQJCAQpRgw,Nelly,75,spotify:artist:2gBjLmx6zQnFGQJCAQpRgw
https://open.spotify.com/artist/19eLuQmk9aCobbVDHc6eek,2955114,"adult standards, dixieland, harlem renaissance, jazz trumpet, lounge, new orleans jazz, soul, swing, vocal jazz",19eLuQmk9aCobbVDHc6eek,Louis Armstrong,70,spotify:artist:19eLuQmk9aCobbVDHc6eek
https://open.spotify.com/artist/1QAJqy2dA3ihHBFIHRphZj,12262015,"ambient pop, dream pop, shoegaze",1QAJqy2dA3ihHBFIHRphZj,Cigarettes After Sex,83,spotify:artist:1QAJqy2dA3ihHBFIHRphZj
https://open.spotify.com/artist/5MspMQqdVbdwP6ax3GXqum,1557783,"new romantic, new wave, new wave pop, singer-songwriter, soft rock, synthpop",5MspMQqdVbdwP6ax3GXqum,Annie Lennox,72,spotify:artist:5MspMQqdVbdwP6ax3GXqum
https://open.spotify.com/artist/49EE6lVLgU8sp7dFgPshgM,6085643,"banda, musica mexicana, norteno",49EE6lVLgU8sp7dFgPshgM,La Adictiva,72,spotify:artist:49EE6lVLgU8sp7dFgPshgM
https://open.spotify.com/artist/2ziB7fzrXBoh1HUPS6sVFn,4564449,"alternative metal, alternative rock, grunge, hard rock, nu metal, permanent wave, post-grunge, rock, supergroup",2ziB7fzrXBoh1HUPS6sVFn,Audioslave,68,spotify:artist:2ziB7fzrXBoh1HUPS6sVFn
https://open.spotify.com/artist/5ZS223C6JyBfXasXxrRqOk,8096195,r&b,5ZS223C6JyBfXasXxrRqOk,Jhené Aiko,78,spotify:artist:5ZS223C6JyBfXasXxrRqOk
https://open.spotify.com/artist/3abT87tqQ4Q5PA5nw6CYyH,937448,"mariachi, musica mexicana, ranchera",3abT87tqQ4Q5PA5nw6CYyH,Ángela Aguilar,72,spotify:artist:3abT87tqQ4Q5PA5nw6CYyH
https://open.spotify.com/artist/09hVIj6vWgoCDtT03h8ZCa,2157967,"conscious hip hop, east coast hip hop, golden age hip hop, hip hop, jazz rap, queens hip hop",09hVIj6vWgoCDtT03h8ZCa,A Tribe Called Quest,66,spotify:artist:09hVIj6vWgoCDtT03h8ZCa
https://open.spotify.com/artist/3XHO7cRUPCLOr6jwp8vsx5,3295417,"indie rock, indietronica, modern alternative rock, modern rock, rock",3XHO7cRUPCLOr6jwp8vsx5,alt-J,70,spotify:artist:3XHO7cRUPCLOr6jwp8vsx5
https://open.spotify.com/artist/41ESHLayJ5sDKjAOv6cMhe,4401723,"latin pop, mariachi, ranchera",41ESHLayJ5sDKjAOv6cMhe,Ana Gabriel,73,spotify:artist:41ESHLayJ5sDKjAOv6cMhe
https://open.spotify.com/artist/6P6GTRTigHBp8ZesNtpCKH,1003172,"reggaeton flow, trap latino, urbano latino",6P6GTRTigHBp8ZesNtpCKH,Almighty,74,spotify:artist:6P6GTRTigHBp8ZesNtpCKH
https://open.spotify.com/artist/3Gm5F95VdRxW3mqCn8RPBJ,1958419,"pop rap, portland hip hop, rap, underground hip hop",3Gm5F95VdRxW3mqCn8RPBJ,Aminé,65,spotify:artist:3Gm5F95VdRxW3mqCn8RPBJ
https://open.spotify.com/artist/75JvBeqW4BJ4xgnbMAq6MN,257465,"ccm, christian music",75JvBeqW4BJ4xgnbMAq6MN,Anne Wilson,62,spotify:artist:75JvBeqW4BJ4xgnbMAq6MN
